"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","Module"
"34","GO:0005975",0.00570217351437847,0.997094794380336,27,156,"carbohydrate metabolic process","BP",1,"Brown"
"35","GO:0002200",0.00581783112188857,0.998763045315301,7,23,"somatic diversification of immune receptors","BP",1,"Brown"
"36","GO:0006089",0.00590141754480008,0.999469735042861,4,8,"lactate metabolic process","BP",1,"Brown"
"37","GO:0009068",0.00612727451932269,0.999443286457351,4,8,"aspartate family amino acid catabolic process","BP",1,"Brown"
"38","GO:0016052",0.00662017077885728,0.998008184276163,10,40,"carbohydrate catabolic process","BP",1,"Brown"
"39","GO:0007484",0.00688924033471525,0.998725710466619,6,18,"imaginal disc-derived genitalia development","BP",1,"Brown"
"40","GO:0007485",0.00688924033471525,0.998725710466619,6,18,"imaginal disc-derived male genitalia development","BP",1,"Brown"
"41","GO:0006672",0.00729558055747442,0.998379321091559,7,23,"ceramide metabolic process","BP",1,"Brown"
"42","GO:0048145",0.00763439984302697,0.997832204085169,9,35,"regulation of fibroblast proliferation","BP",1,"Brown"
"43","GO:0006096",0.00774325467762396,0.998849488248853,5,13,"glycolytic process","BP",1,"Brown"
"44","GO:0002562",0.00827741492770548,0.998384326231625,6,19,"somatic diversification of immune receptors via germline recombination within a single locus","BP",1,"Brown"
"45","GO:0090522",0.00858279108210202,0.999539275279444,3,5,"vesicle tethering involved in exocytosis","BP",1,"Brown"
"46","GO:0099022",0.00858279108210202,0.999539275279444,3,5,"vesicle tethering","BP",1,"Brown"
"47","GO:0016053",0.00895779733408346,0.995614538403498,22,124,"organic acid biosynthetic process","BP",1,"Brown"
"48","GO:0046394",0.00895779733408346,0.995614538403498,22,124,"carboxylic acid biosynthetic process","BP",1,"Brown"
"49","GO:0000973",0.00910478451918841,1,2,2,"post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery","BP",1,"Brown"
"50","GO:1905098",0.00951506194929535,0.999468846306024,3,5,"negative regulation of guanyl-nucleotide exchange factor activity","BP",1,"Brown"
"51","GO:0019240",0.00955675839716166,1,2,2,"citrulline biosynthetic process","BP",1,"Brown"
"52","GO:0019318",0.0100666064552811,0.996324404381679,12,55,"hexose metabolic process","BP",1,"Brown"
"53","GO:0030539",0.0101064777053306,0.997565728166853,7,25,"male genitalia development","BP",1,"Brown"
"54","GO:0051316",0.0101457897657524,1,2,2,"attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation","BP",1,"Brown"
"55","GO:0033866",0.0101492122983541,0.997927861623057,6,19,"nucleoside bisphosphate biosynthetic process","BP",1,"Brown"
"56","GO:0034030",0.0101492122983541,0.997927861623057,6,19,"ribonucleoside bisphosphate biosynthetic process","BP",1,"Brown"
"57","GO:0034033",0.0101492122983541,0.997927861623057,6,19,"purine nucleoside bisphosphate biosynthetic process","BP",1,"Brown"
"58","GO:0030709",0.0103352940040686,1,2,2,"border follicle cell delamination","BP",1,"Brown"
"59","GO:0072224",0.0104321983669592,1,2,2,"metanephric glomerulus development","BP",1,"Brown"
"60","GO:0001887",0.010490429895195,1,2,2,"selenium compound metabolic process","BP",1,"Brown"
"61","GO:1900673",0.0107957224221472,1,2,2,"olefin metabolic process","BP",1,"Brown"
"62","GO:0072524",0.0108157099376963,0.996222880785981,11,49,"pyridine-containing compound metabolic process","BP",1,"Brown"
"63","GO:0098719",0.010885629306392,1,2,2,"sodium ion import across plasma membrane","BP",1,"Brown"
"64","GO:0032308",0.0109002709807788,1,2,2,"positive regulation of prostaglandin secretion","BP",1,"Brown"
"65","GO:0006757",0.0109333064456457,0.998182400649424,5,14,"ATP generation from ADP","BP",1,"Brown"
"66","GO:0016444",0.0109562216196957,0.997697800664416,6,20,"somatic cell DNA recombination","BP",1,"Brown"
"67","GO:1901483",0.0109974760858636,1,2,2,"regulation of transcription factor catabolic process","BP",1,"Brown"
"68","GO:1901485",0.0109974760858636,1,2,2,"positive regulation of transcription factor catabolic process","BP",1,"Brown"
"69","GO:0042350",0.0110138315825541,1,2,2,"GDP-L-fucose biosynthetic process","BP",1,"Brown"
"70","GO:0042351",0.0110138315825541,1,2,2,"'de novo' GDP-L-fucose biosynthetic process","BP",1,"Brown"
"71","GO:0042866",0.0110633216081475,0.998155227420942,5,14,"pyruvate biosynthetic process","BP",1,"Brown"
"72","GO:0009106",0.0111221972251477,1,2,2,"lipoate metabolic process","BP",1,"Brown"
"73","GO:0006556",0.0112657265005701,1,2,2,"S-adenosylmethionine biosynthetic process","BP",1,"Brown"
"74","GO:0000719",0.0113067706869267,1,2,2,"photoreactive repair","BP",1,"Brown"
"75","GO:0046338",0.0114380011354649,1,2,2,"phosphatidylethanolamine catabolic process","BP",1,"Brown"
"76","GO:0019626",0.0114479056433673,1,2,2,"short-chain fatty acid catabolic process","BP",1,"Brown"
"77","GO:1901568",0.012390747264392,0.995575480227783,11,50,"fatty acid derivative metabolic process","BP",1,"Brown"
"78","GO:0007483",0.0140097389893768,0.997466965307004,5,15,"genital disc morphogenesis","BP",1,"Brown"
"79","GO:0035126",0.0140097389893768,0.997466965307004,5,15,"post-embryonic genitalia morphogenesis","BP",1,"Brown"
"80","GO:0048803",0.0140097389893768,0.997466965307004,5,15,"imaginal disc-derived male genitalia morphogenesis","BP",1,"Brown"
"81","GO:0048805",0.0140097389893768,0.997466965307004,5,15,"imaginal disc-derived genitalia morphogenesis","BP",1,"Brown"
"82","GO:1904424",0.0140617854629953,0.998155169923626,4,10,"regulation of GTP binding","BP",1,"Brown"
"83","GO:0009260",0.0140679220803471,0.993902189689186,15,78,"ribonucleotide biosynthetic process","BP",1,"Brown"
"84","GO:0016051",0.0149818238886877,0.994485047182075,11,51,"carbohydrate biosynthetic process","BP",1,"Brown"
"85","GO:0044281",0.0151302994012285,0.989006017743396,87,666,"small molecule metabolic process","BP",1,"Brown"
"86","GO:0005978",0.0152358816477297,0.997951303526012,4,10,"glycogen biosynthetic process","BP",1,"Brown"
"87","GO:0009250",0.0152358816477297,0.997951303526012,4,10,"glucan biosynthetic process","BP",1,"Brown"
"88","GO:0015980",0.016321775355887,0.991818338424887,20,115,"energy derivation by oxidation of organic compounds","BP",1,"Brown"
"89","GO:0006112",0.0171587025979281,0.994801030871279,8,33,"energy reserve metabolic process","BP",1,"Brown"
"90","GO:1905097",0.0173260620569547,0.998565887163702,3,6,"regulation of guanyl-nucleotide exchange factor activity","BP",1,"Brown"
"91","GO:0006091",0.0174257860024399,0.990212903436338,27,169,"generation of precursor metabolites and energy","BP",1,"Brown"
"92","GO:0051791",0.0177432944557703,0.998517690274388,3,6,"medium-chain fatty acid metabolic process","BP",1,"Brown"
"93","GO:0006637",0.0178104748265526,0.995124862146637,7,27,"acyl-CoA metabolic process","BP",1,"Brown"
"94","GO:0035383",0.0178104748265526,0.995124862146637,7,27,"thioester metabolic process","BP",1,"Brown"
"95","GO:0060333",0.0180184347971556,0.998485653754312,3,6,"type II interferon-mediated signaling pathway","BP",1,"Brown"
"96","GO:0032305",0.0181807465744248,0.99846666094885,3,6,"positive regulation of icosanoid secretion","BP",1,"Brown"
"97","GO:0044255",0.0188498490559134,0.987955539634477,42,292,"cellular lipid metabolic process","BP",1,"Brown"
"98","GO:0031648",0.0190105406225169,0.99621519260276,5,16,"protein destabilization","BP",1,"Brown"
"99","GO:0046390",0.0194022050373061,0.991222305603323,15,81,"ribose phosphate biosynthetic process","BP",1,"Brown"
"100","GO:0009152",0.0198904234072441,0.991264975009096,14,74,"purine ribonucleotide biosynthetic process","BP",1,"Brown"
"101","GO:0033865",0.0199584339705533,0.993211789015596,9,40,"nucleoside bisphosphate metabolic process","BP",1,"Brown"
"102","GO:0033875",0.0199584339705533,0.993211789015596,9,40,"ribonucleoside bisphosphate metabolic process","BP",1,"Brown"
"103","GO:0034032",0.0199584339705533,0.993211789015596,9,40,"purine nucleoside bisphosphate metabolic process","BP",1,"Brown"
"104","GO:0046031",0.0201049137445482,0.995937796452199,5,16,"ADP metabolic process","BP",1,"Brown"
"105","GO:0046605",0.0204570676762177,0.993566712741062,8,34,"regulation of centrosome cycle","BP",1,"Brown"
"106","GO:0046949",0.0204734353418186,0.99687318619374,4,11,"fatty-acyl-CoA biosynthetic process","BP",1,"Brown"
"107","GO:0019320",0.0207575964293207,0.995770317777571,5,16,"hexose catabolic process","BP",1,"Brown"
"108","GO:0072330",0.0217271015496957,0.990336383724264,14,75,"monocarboxylic acid biosynthetic process","BP",1,"Brown"
"109","GO:0097164",0.0220048595790318,0.990933405160162,12,61,"ammonium ion metabolic process","BP",1,"Brown"
"110","GO:0006805",0.0227071040212314,0.992715384584697,8,34,"xenobiotic metabolic process","BP",1,"Brown"
"111","GO:0000209",0.0237086902161136,0.988089135755185,18,106,"protein polyubiquitination","BP",1,"Brown"
"112","GO:0006164",0.0245372181977269,0.988896783583898,14,76,"purine nucleotide biosynthetic process","BP",1,"Brown"
"113","GO:0016999",0.0246130937587806,0.990151763679147,11,55,"antibiotic metabolic process","BP",1,"Brown"
"114","GO:0034501",0.024899663945994,0.995843580734972,4,12,"protein localization to kinetochore","BP",1,"Brown"
"115","GO:0005977",0.0253154731530315,0.992461952120965,7,29,"glycogen metabolic process","BP",1,"Brown"
"116","GO:0034198",0.0253637745064137,0.99336630350521,6,23,"cellular response to amino acid starvation","BP",1,"Brown"
"117","GO:0033762",0.0258398972756401,0.99433954733435,5,17,"response to glucagon","BP",1,"Brown"
"118","GO:0046718",0.0269170203051309,0.995394709721471,4,12,"viral entry into host cell","BP",1,"Brown"
"119","GO:0045019",0.0276351095032427,0.996985602201578,3,7,"negative regulation of nitric oxide biosynthetic process","BP",1,"Brown"
"120","GO:1904406",0.0276351095032427,0.996985602201578,3,7,"negative regulation of nitric oxide metabolic process","BP",1,"Brown"
"121","GO:0006099",0.0276534784277228,0.99261816010814,6,23,"tricarboxylic acid cycle","BP",1,"Brown"
"122","GO:1901606",0.0276834113537694,0.991598700761134,7,29,"alpha-amino acid catabolic process","BP",1,"Brown"
"123","GO:0031281",0.0276852051606439,0.999019005928312,2,3,"positive regulation of cyclase activity","BP",1,"Brown"
"124","GO:0000052",0.0279127642559436,0.999006435540884,2,3,"citrulline metabolic process","BP",1,"Brown"
"125","GO:0046364",0.027970887272134,0.992513171639832,6,23,"monosaccharide biosynthetic process","BP",1,"Brown"
"126","GO:0090154",0.0280245400904281,0.996926070897432,3,7,"positive regulation of sphingolipid biosynthetic process","BP",1,"Brown"
"127","GO:0009201",0.0281038906017315,0.989785850481558,9,42,"ribonucleoside triphosphate biosynthetic process","BP",1,"Brown"
"128","GO:0010826",0.0281361152944523,0.996908950677229,3,7,"negative regulation of centrosome duplication","BP",1,"Brown"
"129","GO:0046606",0.0281361152944523,0.996908950677229,3,7,"negative regulation of centrosome cycle","BP",1,"Brown"
"130","GO:0030575",0.0283776519770766,0.996871791813653,3,7,"nuclear body organization","BP",1,"Brown"
"131","GO:0051684",0.0284013090818994,0.998979248579001,2,3,"maintenance of Golgi location","BP",1,"Brown"
"132","GO:0042537",0.0284463664227312,0.996861196298526,3,7,"benzene-containing compound metabolic process","BP",1,"Brown"
"133","GO:0010767",0.0285768785563671,0.998969412025109,2,3,"regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage","BP",1,"Brown"
"134","GO:0010768",0.0285768785563671,0.998969412025109,2,3,"negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage","BP",1,"Brown"
"135","GO:0008631",0.0286005938031944,0.996837376011633,3,7,"intrinsic apoptotic signaling pathway in response to oxidative stress","BP",1,"Brown"
"136","GO:0032529",0.0286229129891475,0.99896682708893,2,3,"follicle cell microvillus organization","BP",1,"Brown"
"137","GO:0003197",0.028726115114201,0.994982419987296,4,12,"endocardial cushion development","BP",1,"Brown"
"138","GO:0006684",0.0287834839643164,0.99680905902666,3,7,"sphingomyelin metabolic process","BP",1,"Brown"
"139","GO:1901615",0.0289735366344456,0.983310217768188,25,163,"organic hydroxy compound metabolic process","BP",1,"Brown"
"140","GO:0007564",0.0291242118568643,0.998938522886612,2,3,"regulation of chitin-based cuticle tanning","BP",1,"Brown"
"141","GO:2000193",0.0294127328287233,0.996711057036804,3,7,"positive regulation of fatty acid transport","BP",1,"Brown"
"142","GO:0042816",0.029677326638315,0.998906964704232,2,3,"vitamin B6 metabolic process","BP",1,"Brown"
"143","GO:0016457",0.0297442677709383,0.998903122083354,2,3,"dosage compensation complex assembly involved in dosage compensation by hyperactivation of X chromosome","BP",1,"Brown"
"144","GO:0006978",0.0297650218950599,0.998901929716893,2,3,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","BP",1,"Brown"
"145","GO:0046670",0.0298243409320485,0.998898519063438,2,3,"positive regulation of retinal cell programmed cell death","BP",1,"Brown"
"146","GO:0046672",0.0298243409320485,0.998898519063438,2,3,"positive regulation of compound eye retinal cell programmed cell death","BP",1,"Brown"
"147","GO:1903026",0.0300180412647661,0.998887354555809,2,3,"negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding","BP",1,"Brown"
"148","GO:0044262",0.0300469377130859,0.986466484054373,13,71,"cellular carbohydrate metabolic process","BP",1,"Brown"
"149","GO:0006073",0.0300886784201218,0.990661520529577,7,30,"cellular glucan metabolic process","BP",1,"Brown"
"150","GO:0044042",0.0300886784201218,0.990661520529577,7,30,"glucan metabolic process","BP",1,"Brown"
"151","GO:0072522",0.0302231624727888,0.985905311860462,14,78,"purine-containing compound biosynthetic process","BP",1,"Brown"
"152","GO:0032306",0.0303075041468333,0.998870592557883,2,3,"regulation of prostaglandin secretion","BP",1,"Brown"
"153","GO:0006086",0.0305184685893231,0.998858317518984,2,3,"acetyl-CoA biosynthetic process from pyruvate","BP",1,"Brown"
"154","GO:0019373",0.0307211653524084,0.998846477062652,2,3,"epoxygenase P450 pathway","BP",1,"Brown"
"155","GO:0043651",0.0307211653524084,0.998846477062652,2,3,"linoleic acid metabolic process","BP",1,"Brown"
"156","GO:0042364",0.0307552584069342,0.996499022607204,3,7,"water-soluble vitamin biosynthetic process","BP",1,"Brown"
"157","GO:0006754",0.0309259690370314,0.989390691688803,8,36,"ATP biosynthetic process","BP",1,"Brown"
"158","GO:1990928",0.0310449542373477,0.99142252563181,6,24,"response to amino acid starvation","BP",1,"Brown"
"159","GO:0042182",0.0310849394010315,0.998825113441818,2,3,"ketone catabolic process","BP",1,"Brown"
"160","GO:0046368",0.0311287095549361,0.998822533082945,2,3,"GDP-L-fucose metabolic process","BP",1,"Brown"
"161","GO:0036066",0.0312907918281791,0.998812959569392,2,3,"protein O-linked fucosylation","BP",1,"Brown"
"162","GO:0042594",0.0314602815049234,0.98300014981637,20,125,"response to starvation","BP",1,"Brown"
"163","GO:0034638",0.0315709343546865,0.998796344673873,2,3,"phosphatidylcholine catabolic process","BP",1,"Brown"
"164","GO:0072350",0.0316340596574273,0.99007546992974,7,30,"tricarboxylic acid metabolic process","BP",1,"Brown"
"165","GO:0009064",0.0322344791879289,0.992413842853235,5,18,"glutamine family amino acid metabolic process","BP",1,"Brown"
"166","GO:0071466",0.0327931439891386,0.986922351876236,10,50,"cellular response to xenobiotic stimulus","BP",1,"Brown"
"167","GO:0000002",0.033732014039288,0.991962157530218,5,18,"mitochondrial genome maintenance","BP",1,"Brown"
"168","GO:0016310",0.0340977760497123,0.975706221034488,59,451,"phosphorylation","BP",1,"Brown"
"169","GO:2000772",0.0364085556610661,0.99298763524275,4,13,"regulation of cellular senescence","BP",1,"Brown"
"170","GO:0008156",0.0369648156420908,0.990875507997032,5,19,"negative regulation of DNA replication","BP",1,"Brown"
"171","GO:0035337",0.0379124254440775,0.992601441188333,4,13,"fatty-acyl-CoA metabolic process","BP",1,"Brown"
"172","GO:0003341",0.0379331638347579,0.984410251116515,10,53,"cilium movement","BP",1,"Brown"
"173","GO:0032368",0.0380856933154637,0.985264963681517,9,45,"regulation of lipid transport","BP",1,"Brown"
"174","GO:0001523",0.0382764990959426,0.992507138135705,4,13,"retinoid metabolic process","BP",1,"Brown"
"175","GO:0030183",0.0382963670615141,0.986172361485026,8,39,"B cell differentiation","BP",1,"Brown"
"176","GO:0005976",0.039140619884966,0.98477962973253,9,45,"polysaccharide metabolic process","BP",1,"Brown"
"177","GO:1905952",0.0391624283018271,0.981614114374197,13,74,"regulation of lipid localization","BP",1,"Brown"
"178","GO:0008210",0.039647326460215,0.992149277985574,4,13,"estrogen metabolic process","BP",1,"Brown"
"179","GO:1901570",0.0402840395954318,0.985345169771951,8,38,"fatty acid derivative biosynthetic process","BP",1,"Brown"
"180","GO:0051255",0.0405837201078513,0.99451847250714,3,8,"spindle midzone assembly","BP",1,"Brown"
"181","GO:0000096",0.0409585914754072,0.989598151316642,5,19,"sulfur amino acid metabolic process","BP",1,"Brown"
"182","GO:0090153",0.0414929400612886,0.994344956134904,3,8,"regulation of sphingolipid biosynthetic process","BP",1,"Brown"
"183","GO:1905038",0.0414929400612886,0.994344956134904,3,8,"regulation of membrane lipid metabolic process","BP",1,"Brown"
"184","GO:0015740",0.041852535985564,0.994275875456765,3,8,"C4-dicarboxylate transport","BP",1,"Brown"
"185","GO:0006793",0.0420748059597113,0.967563128525877,93,755,"phosphorus metabolic process","BP",1,"Brown"
"186","GO:0034644",0.0422761249584055,0.982293662037234,10,53,"cellular response to UV","BP",1,"Brown"
"187","GO:0036473",0.0427722304806818,0.994098032203947,3,8,"cell death in response to oxidative stress","BP",1,"Brown"
"188","GO:0046365",0.0428168972606072,0.98899073623455,5,19,"monosaccharide catabolic process","BP",1,"Brown"
"189","GO:1903825",0.042966649516858,0.984121601126696,8,39,"organic acid transmembrane transport","BP",1,"Brown"
"190","GO:1905039",0.042966649516858,0.984121601126696,8,39,"carboxylic acid transmembrane transport","BP",1,"Brown"
"191","GO:0006694",0.0431099065949728,0.985411225194167,7,32,"steroid biosynthetic process","BP",1,"Brown"
"192","GO:0071459",0.0445771197780935,0.990667159259471,4,14,"protein localization to chromosome, centromeric region","BP",1,"Brown"
"193","GO:0036065",0.0449207968644651,0.993676116176546,3,8,"fucosylation","BP",1,"Brown"
"194","GO:0009063",0.0450227783442349,0.984615979311251,7,32,"amino acid catabolic process","BP",1,"Brown"
"195","GO:0006006",0.0453281205968415,0.983065353174084,8,39,"glucose metabolic process","BP",1,"Brown"
"196","GO:0048808",0.0458932829076867,0.987862680190954,5,20,"male genitalia morphogenesis","BP",1,"Brown"
"197","GO:0019362",0.0460811185566713,0.98148539990474,9,46,"pyridine nucleotide metabolic process","BP",1,"Brown"
"198","GO:0046496",0.0460811185566713,0.98148539990474,9,46,"nicotinamide nucleotide metabolic process","BP",1,"Brown"
"199","GO:0006904",0.0464863369305797,0.985664313865977,6,26,"vesicle docking involved in exocytosis","BP",1,"Brown"
"200","GO:0034502",0.0472028458363291,0.982173921880783,8,40,"protein localization to chromosome","BP",1,"Brown"
"201","GO:0006101",0.0474428657537718,0.98529513019661,6,26,"citrate metabolic process","BP",1,"Brown"
"202","GO:0045428",0.047980676130127,0.987150732594156,5,20,"regulation of nitric oxide biosynthetic process","BP",1,"Brown"
"203","GO:0051292",0.0482168629934752,0.996748112803339,2,4,"nuclear pore complex assembly","BP",1,"Brown"
"204","GO:0072525",0.0487987170597561,0.984768371143283,6,26,"pyridine-containing compound biosynthetic process","BP",1,"Brown"
"205","GO:1903793",0.0493284168478268,0.986685988761424,5,20,"positive regulation of monoatomic anion transport","BP",1,"Brown"
"206","GO:0006796",0.0494512307163894,0.961658736136622,91,743,"phosphate-containing compound metabolic process","BP",1,"Brown"
"207","GO:0080008",0.00522155570920526,0.998923576792925,7,22,"Cul4-RING E3 ubiquitin ligase complex","CC",1,"Brown"
"208","GO:0005851",0.00979397710395363,0.999447229346977,3,5,"eukaryotic translation initiation factor 2B complex","CC",1,"Brown"
"209","GO:0071942",0.0105246830526691,1,2,2,"XPC complex","CC",1,"Brown"
"210","GO:0005749",0.0110922383832241,1,2,2,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","CC",1,"Brown"
"211","GO:0045257",0.0110922383832241,1,2,2,"succinate dehydrogenase complex (ubiquinone)","CC",1,"Brown"
"212","GO:0045273",0.0110922383832241,1,2,2,"respiratory chain complex II","CC",1,"Brown"
"213","GO:0045281",0.0110922383832241,1,2,2,"succinate dehydrogenase complex","CC",1,"Brown"
"214","GO:0045283",0.0110922383832241,1,2,2,"fumarate reductase complex","CC",1,"Brown"
"215","GO:0048269",0.0112657265005701,1,2,2,"methionine adenosyltransferase complex","CC",1,"Brown"
"216","GO:0001650",0.0132134310712324,0.994514919149225,14,71,"fibrillar center","CC",1,"Brown"
"217","GO:0016459",0.0133565451840859,0.996574139289494,7,26,"myosin complex","CC",1,"Brown"
"218","GO:0031461",0.0138833830474226,0.99442825553526,13,64,"cullin-RING ubiquitin ligase complex","CC",1,"Brown"
"219","GO:0031477",0.0155730406798228,0.997891799415746,4,10,"myosin VII complex","CC",1,"Brown"
"220","GO:0000151",0.0169172662553206,0.991655028058281,19,109,"ubiquitin ligase complex","CC",1,"Brown"
"221","GO:0005739",0.0195298549307407,0.985969699941263,75,565,"mitochondrion","CC",1,"Brown"
"222","GO:0000145",0.0270813513976634,0.99706965222009,3,7,"exocyst","CC",1,"Brown"
"223","GO:0035182",0.0286229129891475,0.99896682708893,2,3,"female germline ring canal outer rim","CC",1,"Brown"
"224","GO:0042600",0.0286229129891475,0.99896682708893,2,3,"egg chorion","CC",1,"Brown"
"225","GO:0070825",0.0286229129891475,0.99896682708893,2,3,"chrorion micropyle","CC",1,"Brown"
"226","GO:0005902",0.0292198303587915,0.990987980605473,7,30,"microvillus","CC",1,"Brown"
"227","GO:0033263",0.029672414201916,0.998907246495295,2,3,"CORVET complex","CC",1,"Brown"
"228","GO:0099023",0.0299342329923312,0.991801074750843,6,24,"vesicle tethering complex","CC",1,"Brown"
"229","GO:0045254",0.0305184685893231,0.998858317518984,2,3,"pyruvate dehydrogenase complex","CC",1,"Brown"
"230","GO:0097441",0.0306637145610627,0.998849837648482,2,3,"basal dendrite","CC",1,"Brown"
"231","GO:0042587",0.031388775602501,0.998807158073774,2,3,"glycogen granule","CC",1,"Brown"
"232","GO:0031476",0.0407291587711542,0.991863792713839,4,13,"myosin VI complex","CC",1,"Brown"
"233","GO:0019005",0.0416679418433848,0.987560478877545,6,25,"SCF ubiquitin ligase complex","CC",1,"Brown"
"234","GO:0016461",0.0474252214638215,0.987341120371471,5,20,"unconventional myosin complex","CC",1,"Brown"
"235","GO:1990244",8.85211029503731e-07,1,6,6,"histone H2AT120 kinase activity","MF",0.00785226443721284,"Brown"
"236","GO:0035184",2.84540927445324e-06,0.999999923153366,7,9,"histone threonine kinase activity","MF",0.0126201014845187,"Brown"
"237","GO:0035173",0.000180748864506716,0.999982926304041,7,14,"histone kinase activity","MF",0.291515055019423,"Brown"
"238","GO:0003904",0.00119985199146862,1,3,3,"deoxyribodipyrimidine photo-lyase activity","MF",0.888856767801985,"Brown"
"239","GO:0003913",0.00119985199146862,1,3,3,"DNA photolyase activity","MF",0.888856767801985,"Brown"
"240","GO:0050660",0.00210450645713287,0.9995850904093,8,24,"flavin adenine dinucleotide binding","MF",1,"Brown"
"241","GO:0004674",0.00297831399543229,0.998538337547783,28,159,"protein serine/threonine kinase activity","MF",1,"Brown"
"242","GO:0016298",0.00567747597948179,0.998477978453656,9,33,"lipase activity","MF",1,"Brown"
"243","GO:0004707",0.00593500505456239,0.99946582121252,4,8,"MAP kinase activity","MF",1,"Brown"
"244","GO:0032559",0.00629019862368947,0.996601919108918,31,190,"adenyl ribonucleotide binding","MF",1,"Brown"
"245","GO:0030554",0.00794331822548037,0.995630079691863,31,193,"adenyl nucleotide binding","MF",1,"Brown"
